Date,Laboratory E.coli MPN/100mL (IDEXX),Planktonic E.coli/100mL (ALERT),Comprehensive E.coli/100mL (ALERT)
2024-04-08,4310.0,2641.0,5204.0
2024-04-09,2660.0,2786.0,4845.0
2024-04-10,4960.0,4102.0,5112.0
2024-04-11,3090.0,3233.0,4675.0
2024-04-12,,,3473.0
2024-04-13,,,
2024-04-14,,,
2024-04-15,1610.0,1783.0,3138.0
2024-04-16,1414.0,2069.0,3291.0
2024-04-17,1733.0,1611.0,2704.0
2024-04-18,3410.0,1870.0,3138.0
2024-04-19,,1397.0,2720.0
2024-04-20,,,
2024-04-21,,,
2024-04-22,1553.0,1690.0,3157.0
2024-04-23,2880.0,1141.0,2222.0
2024-04-24,2010.0,1134.0,2316.0
2024-04-25,4800.0,,3010.0
2024-04-26,,1527.0,4933.0
2024-04-27,,,
2024-04-28,,,
2024-04-29,4260.0,2170.0,7719.0
2024-04-30,3790.0,1783.0,6601.0
2024-05-01,,,
2024-05-02,23590.0,4566.0,21855.0
2024-05-03,,1536.0,5204.0
2024-05-04,,,
2024-05-05,,,
2024-05-06,8360.0,3083.0,13320.0
2024-05-07,,2656.0,4933.0
2024-05-08,,,
2024-05-09,,,
2024-05-10,,1332.0,3842.0
2024-05-11,,,
2024-05-12,,,
2024-05-13,2420.0,3064.0,8964.0
2024-05-14,2750.0,2672.0,5173.0
2024-05-15,4170.0,2144.0,9491.0
2024-05-16,3090.0,6486.0,13346.0
2024-05-17,,2518.0,6334.0
2024-05-18,,,
2024-05-19,,,
2024-05-20,,,
2024-05-21,6130.0,3214.0,9836.0
2024-05-22,2420.0,1536.0,3663.0
2024-05-23,1733.0,,
2024-05-24,,1870.0,3311.0
2024-05-25,,,
2024-05-26,,,
2024-05-27,2950.0,1973.0,6977.0
2024-05-28,2790.0,3233.0,6012.0
2024-05-29,3050.0,1783.0,3663.0
2024-05-30,13090.0,5862.0,11978.0
2024-05-31,,2069.0,5724.0
2024-06-01,,,
2024-06-02,,,
2024-06-03,2280.0,1031.0,4251.0
2024-06-04,3170.0,1536.0,3642.0
2024-06-05,4800.0,1700.0,5204.0
2024-06-06,2460.0,1031.0,2720.0
2024-06-07,3680.0,1397.0,2720.0
2024-06-08,,,
2024-06-09,,,
2024-06-10,2280.0,766.0,2344.0
2024-06-11,4710.0,937.0,2721.0
2024-06-12,1610.0,2503.0,5458.0
2024-06-13,1870.0,629.0,2119.0
2024-06-14,,730.0,2579.0
2024-06-15,,,
2024-06-16,,,
2024-06-17,5610.0,1783.0,4053.0
2024-06-18,3990.0,1134.0,4029.0
2024-06-19,1850.0,2939.0,5724.0
2024-06-20,3830.0,1690.0,4005.0
2024-06-21,,1081.0,3311.0
2024-06-22,,,
2024-06-23,,,
2024-06-24,1300.0,1262.0,3663.0
2024-06-25,1730.0,1141.0,9144.0
2024-06-26,1300.0,520.0,2887.0
2024-06-27,488.0,246.0,910.0
2024-06-28,,381.0,1741.0
2024-06-29,,,
2024-06-30,,,
2024-07-01,1046.0,420.0,2222.0
2024-07-02,548.0,730.0,1926.0
2024-07-03,770.0,600.0,1731.0
2024-07-04,579.0,692.0,2473.0
2024-07-05,,347.0,1348.0
2024-07-06,,,
2024-07-07,,,
2024-07-08,345.0,246.0,1741.0
2024-07-09,461.0,467.0,2344.0
2024-07-10,866.0,572.0,1926.0
2024-07-11,,420.0,1285.0
2024-07-12,,2170.0,5724.0
2024-07-13,,1250.0,3028.0
2024-07-14,,823.0,1145.0
2024-07-15,816.0,546.0,1459.0
2024-07-16,461.0,410.0,852.0
2024-07-17,687.0,630.0,2012.0
2024-07-18,461.0,503.0,1479.0
2024-07-19,,574.0,716.0
2024-07-20,,,
2024-07-21,,228.0,591.0
2024-07-22,770.0,567.0,771.0
2024-07-23,488.0,281.0,847.0
2024-07-24,548.0,356.0,1564.0
2024-07-25,411.0,457.0,1329.0
2024-07-26,649.0,265.0,1447.0
2024-07-27,,2542.0,9358.0
2024-07-28,,1862.0,2542.0
2024-07-29,1553.0,1718.0,4240.0
2024-07-30,687.0,867.0,3444.0
2024-07-31,435.0,666.0,2203.0
2024-08-01,2590.0,1592.0,5173.0
2024-08-02,,,
2024-08-03,,,
